Source	Type	External ID	New ModelSEED ID	Old ModelSEED ID
BiGG	compounds	12dgr	cpd19004	cpd11423
BiGG	compounds	12dgr_EC	cpd19004	cpd11423
BiGG	compounds	12ppd-S	cpd19024	cpd00453
BiGG	compounds	1ag3p_SC	cpd19029	cpd00517
BiGG	compounds	1ap2ol	cpd19039	cpd02039
BiGG	compounds	23ddhb	cpd29666	cpd02566
BiGG	compounds	23dhbzs	cpd02582	cpd15332
BiGG	compounds	23dhmb	cpd19030	cpd02498
BiGG	compounds	23dhmp	cpd19046	cpd02535
BiGG	compounds	25aics	cpd19032	cpd02921
BiGG	compounds	25dhpp25drapp	cpd29703	cpd00957
BiGG	compounds	2ahbut	cpd19045	cpd00498
BiGG	compounds	2dhguln	cpd11314	cpd15351
BiGG	compounds	2dmmq7	cpd29732	cpd11425
BiGG	compounds	2omhmbl	cpd03449	cpd15360
BiGG	compounds	2shchc	cpd28162	cpd03451
BiGG	compounds	35paps		cpd00044
BiGG	compounds	3g12dgr_SA		cpd12452
BiGG	compounds	3h2mbcoa	cpd02691	cpd16897
BiGG	compounds	3hbutcoa	cpd03043	cpd16898
BiGG	compounds	3ig3p	cpd29667	cpd02210
BiGG	compounds	3ooctdACP	cpd14938	cpd15377
BiGG	compounds	44mzym	cpd03038	cpd15210
BiGG	compounds	4r5au	cpd29668	cpd02882
BiGG	compounds	5drib	cpd15380	cpd15380|cpd17002
BiGG	compounds	5mdr1p	cpd29669	cpd02574
BiGG	compounds	6hmhpt	cpd29670	cpd00954
BiGG	compounds	L2aadp6sa	cpd01046	cpd02522
BiGG	compounds	Lcystin	cpd00381	cpd00367
BiGG	compounds	Nmtrp	cpd01911	cpd15389
BiGG	compounds	acgam1p	cpd02611	cpd02611|cpd03671
BiGG	compounds	acgam6p	cpd00293	cpd00288|cpd00293
BiGG	compounds	achybu	cpd00498	cpd16794
BiGG	compounds	acmam	cpd01757	cpd03485
BiGG	compounds	actn-R	cpd19008	cpd00361
BiGG	compounds	adphep-D,D	cpd29671	cpd03830
BiGG	compounds	adphep-DD	cpd29671	cpd03830
BiGG	compounds	alac-S	cpd19047	cpd00668
BiGG	compounds	apoACP	cpd29672	cpd12370
BiGG	compounds	appl	cpd19039	cpd02039
BiGG	compounds	arbtn	cpd03294	cpd15411
BiGG	compounds	argsuc	cpd29673	cpd02152
BiGG	compounds	b124tc	cpd28715	cpd02483
BiGG	compounds	butcoa	cpd16257	cpd16910
BiGG	compounds	ca2	cpd29674	cpd00063
BiGG	compounds	cdpdag_SC	cpd29685	cpd11427
BiGG	compounds	cmcbtt	cpd15940	cpd16945
BiGG	compounds	com	cpd20886	cpd02246
BiGG	compounds	copre2	cpd25539	cpd08368
BiGG	compounds	cyan	cpd19012	cpd00150
BiGG	compounds	cyst-L	cpd19019	cpd00367
BiGG	compounds	cyst_L	cpd00424	cpd00367
BiGG	compounds	cysta-L		cpd00367
BiGG	compounds	cysth-L	cpd19019	cpd00367
BiGG	compounds	cytd	cpd00367	cpd00307|cpd00367
BiGG	compounds	decdp	cpd19241	cpd02746
BiGG	compounds	decdp_tb	cpd29704	cpd02746
BiGG	compounds	dhcinnm	cpd29675	cpd09254
BiGG	compounds	dhpmp	cpd29676	cpd03521
BiGG	compounds	diglyrd	cpd29684	cpd11423
BiGG	compounds	dtdp4addg	cpd02661	cpd02616|cpd02661
BiGG	compounds	e4hglu	cpd19042	cpd01974
BiGG	compounds	epistest_SC	cpd16880	cpd02843|cpd16880
BiGG	compounds	fcmcbtt	cpd15952	cpd16948
BiGG	compounds	fmnRD	cpd29733	cpd01270
BiGG	compounds	g3pi	cpd00902	cpd00102|cpd00902
BiGG	compounds	ggdp	cpd00289	cpd00283|cpd00289
BiGG	compounds	ggluptrc	cpd11340	cpd15478
BiGG	compounds	ggptrc	cpd11340	cpd15478
BiGG	compounds	glcr	cpd00571	cpd00609
BiGG	compounds	glcur1p	cpd00880	cpd03191
BiGG	compounds	glyc1p	cpd16494	cpd00080
BiGG	compounds	gmh17bp	cpd29677	cpd08316
BiGG	compounds	gmh1p	cpd21120	cpd04920
BiGG	compounds	gmh7p	cpd21122	cpd04918
BiGG	compounds	gmhep17bp	cpd29677	cpd08316
BiGG	compounds	gmhep1p	cpd21120	cpd04920
BiGG	compounds	gmhep7p	cpd21122	cpd04918
BiGG	compounds	hmgth	cpd09879	cpd15487
BiGG	compounds	hpdca	cpd15609	cpd15609|cpd17019
BiGG	compounds	ihcit-T	cpd03372	cpd15888
BiGG	compounds	kdo2lipid4L	cpd29678	cpd03736
BiGG	compounds	lipidA	cpd02993	cpd02993|cpd03002
BiGG	compounds	lipidX	cpd29679	cpd02930
BiGG	compounds	malthp	cpd03718	cpd15494
BiGG	compounds	metophe	cpd15378	cpd16826
BiGG	compounds	metsox-R-L	cpd14720	cpd15497
BiGG	compounds	metsox_R_L	cpd14720	cpd15497
BiGG	compounds	mleneh4spt	cpd02679	cpd15894
BiGG	compounds	mma	cpd00187	cpd15895
BiGG	compounds	mmalsa	cpd19044	cpd00287
BiGG	compounds	mmcoa_R	cpd29702	cpd00891
BiGG	compounds	mmcoa_S	cpd29701	cpd00519
BiGG	compounds	mn2	cpd20863	cpd00030
BiGG	compounds	mql7	cpd23255	cpd11451
BiGG	compounds	mqn8	cpd11451	cpd15500
BiGG	compounds	myrsACP	cpd27551	cpd11466
BiGG	compounds	nacgam1p		cpd02611
BiGG	compounds	nacgam6p		cpd00293
BiGG	compounds	nh4	cpd19013	cpd00013
BiGG	compounds	ocdcaACP	cpd12458	cpd15268
BiGG	compounds	ocdcya	cpd15270	cpd16888
BiGG	compounds	octeACP	cpd29680	cpd11825
BiGG	compounds	oh1	cpd00001	cpd15275
BiGG	compounds	orn	cpd19016	cpd00064
BiGG	compounds	pa190190	cpd16004	cpd16970
BiGG	compounds	paps	cpd00044	cpd00044|cpd00193
BiGG	compounds	pe_SC	cpd29688	cpd11456
BiGG	compounds	peptido_TB2	cpd16008	cpd16972
BiGG	compounds	pgp_EC	cpd29689	cpd11454
BiGG	compounds	pgp_SC	cpd29686	cpd11454
BiGG	compounds	phosda	cpd29683	cpd11422
BiGG	compounds	ppm	cpd16246	cpd16973
BiGG	compounds	ps_SC	cpd29687	cpd11455
BiGG	compounds	ptd1ino_SC	cpd11715	cpd11822
BiGG	compounds	ptdca	cpd15622	cpd17034
BiGG	compounds	q6h2	cpd11665	cpd15291
BiGG	compounds	r5p	cpd19028	cpd00101
BiGG	compounds	rmmsa	cpd16270	cpd16975
BiGG	compounds	selcys	cpd27371	cpd03389
BiGG	compounds	seramp	cpd03452	cpd15564
BiGG	compounds	shcl	cpd03426	cpd01620|cpd03426
BiGG	compounds	sl-L	cpd08367	cpd15906
BiGG	compounds	slcys	cpd01608	cpd03456
BiGG	compounds	srb-L	cpd01031	cpd00212|cpd01031
BiGG	compounds	srch	cpd15658	cpd03426|cpd15658
BiGG	compounds	stearacp	cpd12458	cpd16828
BiGG	compounds	tagdp-D	cpd29681	cpd02371
BiGG	compounds	tamlgnc	cpd16037	cpd16977
BiGG	compounds	tdm3	cpd16042	cpd16980
BiGG	compounds	tdm4	cpd16041	cpd16981
BiGG	compounds	thidisu	cpd29682	cpd11420
BiGG	compounds	tmha1	cpd16044	cpd16992
BiGG	compounds	tmha2	cpd16045	cpd16993
BiGG	compounds	tmha3	cpd16046	cpd16994
BiGG	compounds	tmha4	cpd16047	cpd16995
BiGG	compounds	tmha5	cpd16048	cpd16996
BiGG	compounds	tmha6	cpd16049	cpd16997
BiGG	compounds	ttccoa	cpd29705	cpd15297
BiGG	compounds	uAgl	cpd03490	cpd02861
BiGG	compounds	uAgla	cpd02862	cpd02943
BiGG	compounds	uaagmda	cpd22495	cpd03495
BiGG	compounds	udcpp	cpd19245	cpd00286
BiGG	compounds	udpLa4o	cpd14876	cpd15578
BiGG	compounds	ugmda	cpd02932	cpd02968
