ModelSEED ID	Atom	External IDs
cpd00179	H:22	C00208
cpd00179	H:24	CPD-3609
cpd00189	H:1	C00220
cpd00189	H:18	CPD0-1625
cpd00605	H:3	BARBITURATE
cpd00605	H:4	C00813
cpd01029	H:13	QUEUINE
cpd01029	H:15	C01449
cpd01105	O:4	CPD-362
cpd01105	O:5	C01569
cpd01173	C:32	C01700
cpd01173	C:33	GLOBOMYCIN
cpd01173	H:57	C01700
cpd01173	H:59	GLOBOMYCIN
cpd01206	H:10	CPD-12847
cpd01206	H:12	C01748
cpd01225	H:82	C01776
cpd01225	H:85	CPD-13365
cpd01225	N:7	CPD-13365
cpd01225	N:8	C01776
cpd01225	O:16	CPD-13365
cpd01225	O:17	C01776
cpd01449	H:35	CHLOROPHYLLIDE-A
cpd01449	H:36	C02139
cpd01624	H:36	UROPORPHYRIN_III
cpd01624	H:38	C02469
cpd01812	H:7	C02803
cpd01812	H:8	CPD-10547
cpd01926	H:15	C03003
cpd01926	H:16	CPD-446
cpd01935	O:6	PHORBOL-13-BUTANOATE
cpd01935	O:7	C03019
cpd01968	H:4	CPD-321
cpd01968	H:5	C03071
cpd02078	H:10	CPD-9192
cpd02078	H:8	C03243
cpd02170	H:20	CPD-8006
cpd02170	H:22	C03430
cpd02225	H:13	C03536
cpd02225	H:15	PYRIMIDINE-5-NUCLEOTIDE
cpd02283	O:7	PHORBOL-1213-DIBUTANOATE
cpd02283	O:8	C03634
cpd02308	H:22	C03677
cpd02308	H:23	421-DEHYDROGEISSOSCHIZINE
cpd02332	H:8	PHENYLACETOTHIOHYDROXIMATE
cpd02332	H:9	C03719
cpd02378	H:5	OXIDIZED-PHOTINUS-LUCIFERIN
cpd02378	H:6	C03797
cpd02518	H:32	C04070
cpd02518	H:34	GIBBERELLIN-2-O-BETA-D-GLUCOSIDE
cpd02557	H:66	FARNESYLFARNESYLGERANIOL
cpd02557	H:68	C04146
cpd02557	O:1	FARNESYLFARNESYLGERANIOL
cpd02557	O:7	C04146
cpd02592	C:44	C04218
cpd02592	C:90	CPD1G-1344
cpd02592	H:172	CPD1G-1344
cpd02592	H:82	C04218
cpd02658	H:17	CPD-199
cpd02658	H:19	C04335
cpd02725	C:168	ALPHAALPHA-TREHALOSE-66-BISMYCOLATE
cpd02725	C:76	C04465
cpd02725	H:142	C04465
cpd02725	H:322	ALPHAALPHA-TREHALOSE-66-BISMYCOLATE
cpd02739	H:1	C04491
cpd02739	H:30	CPD-7143
cpd02876	H:8	CPD-6366
cpd02876	H:9	C04720
cpd02921	C:12	C04811
cpd02921	C:13	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE
cpd02921	H:19	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE
cpd02921	H:20	C04811
cpd02921	N:4	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE
cpd02921	N:5	C04811
cpd02921	O:12	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE
cpd02921	O:9	C04811
cpd02963	C:33	C04876
cpd02963	C:34	CPD-13360
cpd02963	H:54	C04876
cpd02963	H:56	CPD-13360
cpd03055	H:5	5-HYDROXY-4-IMIDAZOLEACETATE
cpd03055	H:6	C05133
cpd03109	H:14	2-AMINO-4-OXO-4-ALPHA-HYDROXY-
cpd03109	H:15	C05252
cpd03110	H:14	2-AMINO-4-OXO-6-123-TRIHYDROXYPROP
cpd03110	H:15	C05253
cpd03148	H:72	CHLOROPHYLL-A
cpd03148	H:73	C05306
cpd03415	H:36	UROPORPHYRIN_I
cpd03415	H:38	C05767
cpd03449	H:72	C05815
cpd03449	H:74	OCTAPRENYL-METHYL-OH-METHOXY-BENZQ
cpd03703	H:3	CPD-60
cpd03703	H:4	C06195
cpd03725	H:16	C06229
cpd03725	H:22	FERRIC-CITRATE-COMPLEX
cpd04004	H:2	CPD-13246
cpd04004	H:4	C06600
cpd04092	H:26	C06691
cpd04092	H:28	CPD1A0-6123
cpd04273	C:1	CPD-8951
cpd04273	C:25	C06940
cpd04273	H:4	CPD-8951
cpd04273	H:48	C06940
cpd04273	O:3	CPD-8951
cpd04273	O:8	C06940
cpd04421	H:20	CPD-4506
cpd04421	H:24	C07168
cpd04436	H:13	CPD-13918
cpd04436	H:2	C07195
cpd04436	O:1	C07195
cpd04436	O:4	CPD-13918
cpd05217	C:12	C08302
cpd05217	C:9	CPD-9502
cpd05217	H:12	CPD-9502
cpd05217	H:16	C08302
cpd05703	H:44	CPD-5302
cpd05703	H:46	C08798
cpd06639	C:15	C09747
cpd06639	C:6	CPD0-1627
cpd06639	H:20	C09747
cpd06639	H:9	CPD0-1627
cpd06639	O:3	CPD0-1627
cpd06639	O:6	C09747
cpd07991	C:4	C11109
cpd07991	C:74	CPD-7840
cpd07991	H:83	CPD-7840
cpd07991	H:9	C11109
cpd07991	O:2	C11109
cpd07991	O:39	CPD-7840
cpd08192	H:16	CPD0-1313
cpd08192	H:2	C11336
cpd08192	O:1	C11336
cpd08192	O:5	CPD0-1313
cpd08320	H:10	C11480
cpd08320	H:12	CPD-10732
cpd08327	C:3	C11488
cpd08327	C:6	CPD-10205
cpd08327	H:6	CPD-10205
cpd08327	H:7	C11488
cpd08327	O:2	C11488
cpd08327	O:3	CPD-10205
cpd08438	O:2	CPD-4584
cpd08438	O:4	C11627
cpd08547	C:10	C11738
cpd08547	C:7	CPD-9739
cpd08547	H:13	C11738
cpd08547	H:8	CPD-9739
cpd08631	H:31	DIVINYL-PROTOCHLOROPHYLLIDE-A
cpd08631	H:32	C11831
cpd08632	H:33	DIVINYLCHLOROPHYLLIDE-A
cpd08632	H:34	C11832
cpd08714	C:7	CPD-13969
cpd08714	C:8	C11917
cpd08714	H:14	CPD-13969
cpd08714	H:16	C11917
cpd08829	C:21	C12038
cpd08829	C:22	CPD-9991
cpd08829	H:27	C12038
cpd08829	H:29	CPD-9991
cpd08829	O:3	CPD-9991
cpd08829	O:4	C12038
cpd09058	C:12	C12285
cpd09058	C:13	CPD-5582
cpd09058	H:19	C12285
cpd09058	H:21	CPD-5582
cpd09058	O:7	CPD-5582
cpd09058	O:8	C12285
cpd09147	C:22	C12394
cpd09147	C:23	CPD-12945
cpd09147	N:1	CPD-12945
cpd09147	N:2	C12394
cpd09447	H:2	C13503
cpd09447	H:30	CPD-8129
cpd09860	H:26	C14161
cpd09860	H:28	CPD-6202
cpd09860	O:5	C14161
cpd09860	O:6	CPD-6202
cpd09861	H:26	C14162
cpd09861	H:28	CPD1F-97
cpd09861	O:4	C14162
cpd09861	O:5	CPD1F-97
cpd10133	C:14	C14434
cpd10133	C:2	CPD0-1075
cpd10133	H:14	C14434
cpd10133	H:7	CPD0-1075
cpd10133	O:3	CPD0-1075
cpd10133	O:4	C14434
cpd11359	C:55	C15718
cpd11359	C:56	CPD-12096
cpd11359	H:83	C15718
cpd11359	H:88	CPD-12096
cpd11359	N:17	C15718
cpd11359	N:18	CPD-12096
cpd11411	H:6	CPD-6365
cpd11411	H:7	C15770
cpd11412	H:6	CPD-6367
cpd11412	H:7	C15771
cpd11451	C:21	C00828
cpd11451	C:51	CPD-9728
cpd11451	H:24	C00828
cpd11451	H:72	CPD-9728
cpd11574	O:2	C06232
cpd11574	O:4	CPD-3
cpd11665	C:19	C00390
cpd11665	C:39	UBIQUINOL-30
cpd11665	H:28	C00390
cpd11665	H:60	UBIQUINOL-30
cpd11713	C:25	C00621
cpd11713	C:80	CPD-224
cpd11713	H:134	CPD-224
cpd11713	H:46	C00621
cpd11821	C:30	C01191
cpd11821	C:85	CPD-175
cpd11821	H:141	CPD-175
cpd11821	H:53	C01191
cpd12128	C:41	C02536
cpd12128	C:96	CPD-8189
cpd12128	H:162	CPD-8189
cpd12128	H:74	C02536
cpd12587	C:33	C04678
cpd12587	C:88	CPD-167
cpd12587	H:146	CPD-167
cpd12587	H:58	C04678
cpd12692	H:5	5-METHYL-BARBITURATE
cpd12692	H:6	C05281
cpd12844	H:48	C03313
cpd12844	H:50	CPD-12831
cpd14553	C:34	HEME_C
cpd14553	C:40	C15817
cpd14553	H:38	HEME_C
cpd14553	H:48	C15817
cpd14553	N:4	HEME_C
cpd14553	N:6	C15817
cpd14553	O:4	HEME_C
cpd14553	O:8	C15817
cpd14632	H:61	CPD-11467
cpd14632	H:62	C15902
cpd15018	C:95	CPD-7865
cpd15018	C:96	C16302
cpd15018	H:105	CPD-7865
cpd15018	H:106	C16302
cpd15018	O:51	CPD-7865
cpd15018	O:53	C16302
cpd15127	O:5	CPD-10774
cpd15127	O:7	C16421
cpd15353	H:72	CPD-12115
cpd15353	H:74	CPD0-2129
cpd16552	C:17	C16755
cpd16552	C:19	CPD-10178
cpd16552	H:12	C16755
cpd16552	H:16	CPD-10178
cpd17802	H:12	CPD-8647
cpd17802	H:14	C17690
cpd17853	H:11	CPD-8853
cpd17853	H:9	C17756
cpd18005	H:38	C18022
cpd18005	H:39	CPD-7063
cpd18033	H:22	CPD-10683
cpd18033	H:23	C18050
cpd19149	As:1	CPD-763
cpd19149	As:2	C13619
cpd19368	H:39	CPD-7064
cpd19368	H:40	C18098
cpd19421	H:72	CPD-7016
cpd19421	H:73	C18151
cpd19505	H:12	PRECURSOR-Z
cpd19505	H:14	C18239
cpd19505	O:7	PRECURSOR-Z
cpd19505	O:8	C18239
cpd19575	H:5	C18309
cpd19575	H:7	CPD-10849
cpd19616	H:7	C18351
cpd19616	H:9	CPD-12469
cpd20941	H:20	C19693
cpd20941	H:24	CPD-12792
cpd21167	H:24	C19928
cpd21167	H:26	CPD-582
cpd21167	O:13	C19928
cpd21167	O:2	CPD-582
