ModelSEED ID	Formula	External IDs
cpd00179	C12H22O11	C00208
cpd00179	C12H24O11	CPD-3609
cpd00189	C16H18N3S	CPD0-1625
cpd00189	C16H18N3S.ClH	C00220
cpd00209	HNO3	C00244
cpd00209	NO3	NITRATE
cpd00605	C4H3N2O3	BARBITURATE
cpd00605	C4H4N2O3	C00813
cpd01029	C12H13N5O3	QUEUINE
cpd01029	C12H15N5O3	C01449
cpd01105	C5H12O4	CPD-362
cpd01105	C5H12O5	C01569
cpd01173	C32H57N5O9	C01700
cpd01173	C33H59N5O9	GLOBOMYCIN
cpd01206	C13H10N2O	CPD-12847
cpd01206	C13H12N2O	C01748
cpd01225	C51H82N8O17	C01776
cpd01225	C51H85N7O16	CPD-13365
cpd01449	C35H35N4O5.Mg	CHLOROPHYLLIDE-A
cpd01449	C35H36N4O5.Mg	C02139
cpd01624	C40H36N4O16	UROPORPHYRIN_III
cpd01624	C40H38N4O16	C02469
cpd01812	C8H7NO3	C02803
cpd01812	C8H8NO3	CPD-10547
cpd01926	C12H15NO7	C03003
cpd01926	C12H16NO7	CPD-446
cpd01935	C24H34O6	PHORBOL-13-BUTANOATE
cpd01935	C24H34O7	C03019
cpd01968	C3H4NO4	CPD-321
cpd01968	C3H5NO4	C03071
cpd02078	C14H10O2	CPD-9192
cpd02078	C14H8O2	C03243
cpd02170	C21H20O12	CPD-8006
cpd02170	C21H22O12	C03430
cpd02225	C9H13N2O7P	C03536
cpd02225	C9H15N2O7P	PYRIMIDINE-5-NUCLEOTIDE
cpd02283	C28H40O7	PHORBOL-1213-DIBUTANOATE
cpd02283	C28H40O8	C03634
cpd02308	C21H22N2O3	C03677
cpd02308	C21H23N2O3	421-DEHYDROGEISSOSCHIZINE
cpd02332	C8H8NOS	PHENYLACETOTHIOHYDROXIMATE
cpd02332	C8H9NOS	C03719
cpd02378	C10H5N2O2S2	OXIDIZED-PHOTINUS-LUCIFERIN
cpd02378	C10H6N2O2S2	C03797
cpd02518	C25H32O11	C04070
cpd02518	C25H34O11	GIBBERELLIN-2-O-BETA-D-GLUCOSIDE
cpd02557	C40H66O	FARNESYLFARNESYLGERANIOL
cpd02557	C40H68O7P2	C04146
cpd02592	C44H82O13	C04218
cpd02592	C90H172O13	CPD1G-1344
cpd02658	C14H17NO4	CPD-199
cpd02658	C14H19NO4	C04335
cpd02725	C168H322O15	ALPHAALPHA-TREHALOSE-66-BISMYCOLATE
cpd02725	C76H142O15	C04465
cpd02739	C27H30O15	CPD-7143
cpd02739	C27H30O15.ClH	C04491
cpd02876	C9H8NO5	CPD-6366
cpd02876	C9H9NO5	C04720
cpd02921	C12H20N5O9P	C04811
cpd02921	C13H19N4O12P	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE
cpd02963	C33H54N6O20	C04876
cpd02963	C34H56N6O20	CPD-13360
cpd03055	C5H5N2O3	5-HYDROXY-4-IMIDAZOLEACETATE
cpd03055	C5H6N2O3	C05133
cpd03109	C9H14N5O8	2-AMINO-4-OXO-4-ALPHA-HYDROXY-
cpd03109	C9H15N5O8	C05252
cpd03110	C9H14N5O6	2-AMINO-4-OXO-6-123-TRIHYDROXYPROP
cpd03110	C9H15N5O6	C05253
cpd03148	C55H72N4O5.Mg	CHLOROPHYLL-A
cpd03148	C55H73N4O5.Mg	C05306
cpd03415	C40H36N4O16	UROPORPHYRIN_I
cpd03415	C40H38N4O16	C05767
cpd03449	C48H72O4	C05815
cpd03449	C48H74O4	OCTAPRENYL-METHYL-OH-METHOXY-BENZQ
cpd03703	C3H3N2O	CPD-60
cpd03703	C3H4N2O	C06195
cpd03725	C12H16O14.Fe	C06229
cpd03725	C12H22O14.Fe	FERRIC-CITRATE-COMPLEX
cpd04004	C6H2Cl2O2	CPD-13246
cpd04004	C6H4Cl2O2	C06600
cpd04092	C32H26O14	C06691
cpd04092	C32H28O14	CPD1A0-6123
cpd04097	Pb	PB+2
cpd04097	Pb.H2	C06696
cpd04273	C25H48N6O8	C06940
cpd04273	C25H48N6O8.CH4O3S	CPD-8951
cpd04421	C21H20F3N3S	CPD-4506
cpd04421	C21H24F3N3S	C07168
cpd04436	C10H13N5O4	CPD-13918
cpd04436	C10H13N5O4.H2O	C07195
cpd04742	C16H12N4O9S2	CPD-10425
cpd04742	C16H12N4O9S2.Na3	C07574
cpd05217	C12H16N2	C08302
cpd05217	C9H12O2	CPD-9502
cpd05703	C30H44O7	CPD-5302
cpd05703	C30H46O7	C08798
cpd06639	C15H20O6	C09747
cpd06639	C6H9N3O3	CPD0-1627
cpd07991	C4H9NO2	C11109
cpd07991	C74H83O39	CPD-7840
cpd08043	C12H26O4S	CPD-8876
cpd08043	C12H26O4S.Na	C11166
cpd08192	C13H16NO5.Hg	CPD0-1313
cpd08192	C13H16NO5.Hg.H2O	C11336
cpd08320	C8H10O2	C11480
cpd08320	C8H12O2	CPD-10732
cpd08327	C3H7NO2	C11488
cpd08327	C6H6O3	CPD-10205
cpd08438	H2O.O2.V	CPD-4584
cpd08438	O4.V	C11627
cpd08547	C10H13ClN2	C11738
cpd08547	C7H8O3	CPD-9739
cpd08631	C35H31N4O5.Mg	DIVINYL-PROTOCHLOROPHYLLIDE-A
cpd08631	C35H32N4O5.Mg	C11831
cpd08632	C35H33N4O5.Mg	DIVINYLCHLOROPHYLLIDE-A
cpd08632	C35H34N4O5.Mg	C11832
cpd08714	C7H14O4	CPD-13969
cpd08714	C8H16O4	C11917
cpd08829	C21H27N3O4S3	C12038
cpd08829	C22H29N3O3S3	CPD-9991
cpd09058	C12H19Cl3O8	C12285
cpd09058	C13H21Cl3O7	CPD-5582
cpd09147	C22H18N2O9	C12394
cpd09147	C23H18NO9	CPD-12945
cpd09447	C40H30N10O6	CPD-8129
cpd09447	C40H30N10O6.Cl2H2	C13503
cpd09860	C20H26O5	C14161
cpd09860	C20H28O6	CPD-6202
cpd09861	C20H26O4	C14162
cpd09861	C20H28O5	CPD1F-97
cpd10133	C14H14NO4PS	C14434
cpd10133	C2H7O3P	CPD0-1075
cpd11359	C55H83N17O22	C15718
cpd11359	C56H88N18O22	CPD-12096
cpd11411	C8H6NO4	CPD-6365
cpd11411	C8H7NO4	C15770
cpd11412	C8H6NO5	CPD-6367
cpd11412	C8H7NO5	C15771
cpd11451	C21H24O2	C00828
cpd11451	C51H72O2	CPD-9728
cpd11574	Mo.H4O2.O2	C06232
cpd11574	Mo.O4	CPD-3
cpd11665	C19H28O4	C00390
cpd11665	C39H60O4	UBIQUINOL-30
cpd11713	C25H46O7P2	C00621
cpd11713	C80H134O7P2	CPD-224
cpd11821	C30H53O8P	C01191
cpd11821	C85H141O8P	CPD-175
cpd12128	C41H74O2	C02536
cpd12128	C96H162O2	CPD-8189
cpd12587	C33H58NO9P	C04678
cpd12587	C88H146NO9P	CPD-167
cpd12692	C5H5N2O3	5-METHYL-BARBITURATE
cpd12692	C5H6N2O3	C05281
cpd12844	C31H48O2	C03313
cpd12844	C31H50O2	CPD-12831
cpd14553	C34H38N4O4S2	HEME_C
cpd14553	C40H48N6O8S2.Fe	C15817
cpd14632	C41H61O2	CPD-11467
cpd14632	C41H62O2	C15902
cpd14723	C26H25N5O19S6	CPD-10474
cpd14723	C26H25N5O19S6.Na4	C16001
cpd15018	C95H105O51	CPD-7865
cpd15018	C96H106O53	C16302
cpd15127	C5H10BO7	C16421
cpd15127	C5H10O5	CPD-10774
cpd15353	C50H72O2	CPD-12115
cpd15353	C50H74O2	CPD0-2129
cpd16552	C17H12O7	C16755
cpd16552	C19H16O7	CPD-10178
cpd17802	C10H12O2	CPD-8647
cpd17802	C10H14O2	C17690
cpd17853	C8H11NO2	CPD-8853
cpd17853	C8H9NO2	C17756
cpd18005	C35H38N4O7	C18022
cpd18005	C35H39N4O7	CPD-7063
cpd18033	C12H22O14P	CPD-10683
cpd18033	C12H23O14P	C18050
cpd19012	CHN	HCN
cpd19012	CN	CPD-13584
cpd19149	As2.O3	C13619
cpd19149	AsH2O3	CPD-763
cpd19368	C35H39N4O7	CPD-7064
cpd19368	C35H40N4O7	C18098
cpd19421	C55H72N4O6.Mg	CPD-7016
cpd19421	C55H73N4O6.Mg	C18151
cpd19505	C10H12N5O7P	PRECURSOR-Z
cpd19505	C10H14N5O8P	C18239
cpd19575	C7H5ClO4	C18309
cpd19575	C7H7ClO4	CPD-10849
cpd19616	C6H7NO2	C18351
cpd19616	C6H9NO2	CPD-12469
cpd20941	C29H20ClN7O11S3	C19693
cpd20941	C29H24ClN7O11S3	CPD-12792
cpd21167	C20H24N10O13P2S2	C19928
cpd21167	C20H26N10O13P2S2.Mo.O2	CPD-582
cpd21174	HN3	CPD-2841
cpd21174	N3	C19935
