ModelSEED ID	Layer	External IDs
cpd01441	c:1-4(16)23-3-6-7(17)8(18)11(21)14(25-6)26-12-5(2-15)24-13(22)10(20)9(12)19	C02130
cpd01441	c:1-4(17)23-13-11(22)9(20)12(6(3-16)25-13)26-14-10(21)8(19)7(18)5(2-15)24-14	ACETYLMALTOSE
cpd01441	h:5-15,17-22H,2-3H2,1H3	C02130
cpd01441	h:5-16,18-22H,2-3H2,1H3	ACETYLMALTOSE
cpd01441	t:5-,6-,7-,8+,9-,10-,11-,12-,13+,14-	ACETYLMALTOSE
cpd01441	t:5-,6-,7-,8+,9-,10-,11-,12-,13?,14-	C02130
cpd01451	t:21-,22+,23-,24+,25+,26+,27-,28+,29-,30+	C02141
cpd01451	t:21-,22+,23?,24?,25+,26?,27-,28+,29?,30?	CYCLOEUCALENOL
cpd01465	b:7-6-,10-9+,12-11+,16-13+	LEUKOTRIENE-C4
cpd01465	b:7-6-,10-9-,12-11+,16-13+	C02166
cpd01481	t:5-,6+,8-,9+,10+,11+,12+,13?,14+	C02199
cpd01481	t:5-,6?,8-,9+,10+,11+,12+,13?,14?	UDP-L-RHAMNOSE
cpd01482	t:5-,6-,8-,9-,10-,11-,12-,13-,14-	C02200
cpd01482	t:5-,6-,8-,9-,10-,11-,12-,13-,14?	UDP-D-GLUCOSAMINE
cpd01493	h:2-3,7H,1H3,(H,8,9)	C02216
cpd01493	h:2-3H,7H2,1H3	1-METHYLADENINE
cpd01496	b:3-1+,4-2-	2-AMINO-MUCONATE
cpd01496	b:3-1-,4-2+	C02220
cpd01517	c:16-2-6-8(18)9(19)11(20-6)15-4-14-5-1-7(17)12-3-13-10(5)15	8-OXOCOFORMYCIN
cpd01517	c:16-2-6-8(18)9(19)11(20-6)15-4-14-7-5(17)1-12-3-13-10(7)15	C02243
cpd01517	h:3-4,6,8-9,11,16,18-19H,1-2H2,(H,12,13)	C02243
cpd01517	h:3-4,6,8-9,11,16,18-19H,1-2H2,(H,12,13,17)	8-OXOCOFORMYCIN
cpd01532	t:1-,2+,3+,4+,5+,6+,7-,8-,11-,12-	CPD-12435
cpd01532	t:1-,2+,3+,4+,5+,6+,7-,8-,11?,12-	C02273
cpd01537	t:19-,21-,22-,23+,26+,27-,28-,29+,30+	C02283
cpd01537	t:19?,21?,22-,23?,26+,27-,28-,29+,30+	CPD-13675
cpd01538	t:19-,21-,22-,23-,24-,25-,26-,27+,28-,29-,30+,31+,34-,35+,38+,39-,40-,41+,42+	C02284
cpd01538	t:19?,21?,22-,23-,24-,25-,26?,27+,28-,29-,30+,31?,34-,35+,38+,39-,40-,41+,42+	GLYCYRRHIZINATE
cpd01558	h:3,14H,2H2,1H3,(H3,10,12,13,16,17)	C02333
cpd01558	h:3,5,14H,2H2,1H3,(H2,10,12,13,16,17)	CPD-1127
cpd01560	c:1-12(25)23(37)53-7-6-27-14(33)4-5-28-21(36)18(35)24(2,3)9-46-52(43,44)49-51(41,42)45-8-13-17(48-50(38,39)40)16(34)22(47-13)32-11-31-15-19(26)29-10-30-20(15)32	BETA-ALANYL-COA
cpd01560	c:1-24(2,19(36)22(37)28-6-4-14(33)27-7-8-53-15(34)3-5-25)10-46-52(43,44)49-51(41,42)45-9-13-18(48-50(38,39)40)17(35)23(47-13)32-12-31-16-20(26)29-11-30-21(16)32	C02335
cpd01560	h:10-13,16-18,22,34-35H,4-9,25H2,1-3H3,(H,27,33)(H,28,36)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)	BETA-ALANYL-COA
cpd01560	h:11-13,17-19,23,35-36H,3-10,25H2,1-2H3,(H,27,33)(H,28,37)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)	C02335
cpd01565	t:7-,8+,10+	CPD-685
cpd01565	t:7-,8-,10+	C02344
cpd01607	t:2-,3-,4+,5-,6?	C02431
cpd01607	t:2?,3-,4+,5-,6?	L-RHAMNOFURANOSE
cpd01620	b:29-14-,30-16-,31-15-	C02463
cpd01620	b:29-14-,31-15-,32-16-	DIHYDROSIROHYDROCHLORIN
cpd01620	h:14-16,23-24,43-44,46H,3-13,17-18H2,1-2H3,(H,47,48)(H,49,50)(H,51,52)(H,53,54)(H,55,56)(H,57,58)(H,59,60)(H,61,62)	C02463
cpd01620	h:14-16,23-24,43-45H,3-13,17-18H2,1-2H3,(H,47,48)(H,49,50)(H,51,52)(H,53,54)(H,55,56)(H,57,58)(H,59,60)(H,61,62)	DIHYDROSIROHYDROCHLORIN
cpd01623	t:5-,6-,8-,9+,10-,11-,12-,13-,14-	C02467
cpd01623	t:5-,6-,8-,9+,10-,11-,12-,13-,14?	UDP-D-GALACTOSAMINE
cpd01629	c:6-1-2-3(7)4(8)5(9)10-2	CPD-12046
cpd01629	c:6-2-1-10-5(9)4(8)3(2)7	C02479
cpd01652	t:15-,16+,17-,19-,20+,23-,25+,26+,27+	CPD-331
cpd01652	t:15-,16+,17?,19-,20+,23-,25+,26+,27+	C02513
cpd01660	c:1-2-3(7)4(8)5(9)6(10)11-2	C02522
cpd01660	c:1-3(8)5(10)6(11)4(9)2-7	6-DEOXY-D-GLUCOSE
cpd01660	h:2-10H,1H3	C02522
cpd01660	h:2-6,8-11H,1H3	6-DEOXY-D-GLUCOSE
cpd01660	t:2-,3-,4+,5-,6?	C02522
cpd01660	t:3-,4+,5-,6-	6-DEOXY-D-GLUCOSE
cpd01683	c:1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21	C02572
cpd01683	c:1-25-13-6-9(2-4-10(13)18)3-5-14(21)26-15-11(19)7-17(24,16(22)23)8-12(15)20	CPD-416
cpd01683	h:2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)	C02572
cpd01683	h:2-6,11-12,15,18-20,24H,7-8H2,1H3,(H,22,23)	CPD-416
cpd01683	t:11-,12?,15-,17+	CPD-416
cpd01683	t:11-,13-,15-,17+	C02572
cpd01684	c:26-3-1-2-10(27)4-16(40)32-12-6-30-23(46)18(11-5-17(41)37-24(28)36-11)38-20(43)13(7-31-25(29)47)33-21(44)14(8-39)34-22(45)15(35-19(12)42)9-51-52(48,49)50	C02574
cpd01684	c:26-4-2-1-3-10(27)18(41)32-12-6-30-23(46)17(11-5-16(40)37-24(28)36-11)38-20(43)13(7-31-25(29)47)33-21(44)14(8-39)34-22(45)15(35-19(12)42)9-51-52(48,49)50	VIOMYCIN-P
cpd01684	h:7,10-12,14-15,17-18,39,41H,1-6,8-9,26-27H2,(H,30,46)(H,32,40)(H,33,44)(H,34,45)(H,35,42)(H,38,43)(H3,28,36,37)(H3,29,31,47)(H2,48,49,50)	C02574
cpd01684	h:7,10-12,14-17,39-40H,1-6,8-9,26-27H2,(H,30,46)(H,32,41)(H,33,44)(H,34,45)(H,35,42)(H,38,43)(H3,28,36,37)(H3,29,31,47)(H2,48,49,50)	VIOMYCIN-P
cpd01690	h:2-3H2,1H3,(H4,10,11,13,14,16)	C02587
cpd01690	h:6H,2-3H2,1H3,(H3,10,11,13,14,16)	A-PYRIMIDODIAZEPINE
cpd01698	c:6-1-2-3(7)4(8)5(9)10-2	CPD-12045
cpd01698	c:6-2-1-10-5(9)4(8)3(2)7	C02604
cpd01699	t:22-,26-,27-,28+,32-	C02611
cpd01699	t:22-,26-,27-,28?,32-	EE-PIPEROYL-COA
cpd01712	t:15-,17-,19+,20-,21-,22+,24+,25+,26?,27+	CPD-276
cpd01712	t:15?,17-,19+,20-,21-,22+,24+,25+,26?,27+	C02633
cpd01738	h:2-7,12,17-18H,8H2,1H3	C02675
cpd01738	h:2-8,16-19H,1H3	DIHYDROBIOCHANIN-A
cpd01757	t:4-,6+,7+,8+,9+,11?	NACMUR
cpd01757	t:4-,6-,7-,8-,9-,11?	C02713
cpd01769	c:6-3-1-2-4-8-5(7)9-13(10,11)12	C02726
cpd01769	c:6-5(7)8-3-1-2-4-9-13(10,11)12	CPD-492
cpd01769	h:1-4,6H2,(H5,7,8,9,10,11,12)	C02726
cpd01769	h:1-4H2,(H4,6,7,8)(H3,9,10,11,12)	CPD-492
cpd01787	h:5,7-8,10,12-13,16H,4,6H2,1-3H3	12-DIHYDROSANTONIN
cpd01787	h:8,10,13H,4-7H2,1-3H3	C02771
cpd01787	t:8-,10-,12?,13-,15-	12-DIHYDROSANTONIN
cpd01787	t:8-,10-,13-,15-	C02771
cpd01810	t:14-,18-,19-,20+,24-	C02801
cpd01810	t:14-,18-,19-,20?,24-	4-AMINOBUTANOYL-COA
cpd01826	q:;;+1	CPD-315
cpd01826	q:;;+2	C02823
cpd01826	t:31-,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;;	CPD-315
cpd01826	t:31-,34-,35-,36-,37+,41-,52-,53-,56?,57+,59-,60+,61+,62+;;	C02823
cpd01829	t:2-,3-,4+,5-,6-	CPD-544
cpd01829	t:2-,3-,4+,5-,6?	C02827
cpd01841	t:13-,14+,15+,17+,21+	C02864
cpd01841	t:13?,14-,15-,17-,21-	O-DEMETHYLPUROMYCIN
cpd01847	t:2-,3-,4-,5-	C02884
cpd01847	t:2-,3?,4?,5-	RIBOSE-TRIPHOSPHATE
cpd01849	c:1-22-10-5-8(3-4-12(17)18)6-11(23-2)14(10)24-15(21)9(16)7-13(19)20	SINAPOYL-S-MALATE
cpd01849	c:1-22-9-5-8(6-10(23-2)14(9)19)3-4-13(18)24-11(15(20)21)7-12(16)17	C02887
cpd01849	h:3-6,11,19H,7H2,1-2H3,(H,16,17)(H,20,21)	C02887
cpd01849	h:3-6,9,16H,7H2,1-2H3,(H,17,18)(H,19,20)	SINAPOYL-S-MALATE
cpd01849	t:11-	C02887
cpd01849	t:9-	SINAPOYL-S-MALATE
cpd01856	h:4-7,10,16,21,23H,8-9H2,1-3H3,(H,22,25)	BETA-CYCLOPIAZONATE
cpd01856	h:4-7,10,16,21,24H,8-9H2,1-3H3,(H,22,25)	C02899
cpd01857	t:7-,8+,9?	PARA-MENTHANE-38-DIOL
cpd01857	t:7-,8-,9-	C02904
cpd01863	t:17-,22-	S-N-METHYLCANADINE
cpd01863	t:17-,22?	C02915
cpd01870	h:2-8,17-18H,9H2,1H3	C02922
cpd01870	h:2-9,17-19H,1H3	CPD-4302
cpd01874	b:4-2+	C02927
cpd01874	b:4-2-	CPD-162
cpd01886	t:19-,21-,23+,26+,27-,28-,29+,30+	C02943
cpd01886	t:19?,21?,23?,26-,27+,28+,29-,30-	3-OXOGLYCYRRHETINATE
cpd01901	c:7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14	D-ALLOSE-6-PHOSPHATE
cpd01901	c:7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8	C02962
cpd01901	h:1,3-6,8-11H,2H2,(H2,12,13,14)	D-ALLOSE-6-PHOSPHATE
cpd01901	h:2-10H,1H2,(H2,11,12,13)	C02962
cpd01901	t:2-,3-,4-,5-,6?	C02962
cpd01901	t:3-,4+,5-,6+	D-ALLOSE-6-PHOSPHATE
cpd01940	h:4-6,8,12,16-17,21,23H,7H2,1-3H3	ALPHA-CYCLOPIAZONATE
cpd01940	h:4-6,8,12,16-17,21,24H,7H2,1-3H3	C03032
cpd01960	b:3-1+	CPD-786
cpd01960	b:3-1-	C03063
cpd01984	c:1-9(2)7-4-5-10(3,12-9)6-8(7)11	CPD-791
cpd01984	c:1-9(2)7-4-5-10(3,12-9)8(11)6-7	C03092
cpd02026	t:16-,17-,18-,19-	C03170
cpd02026	t:16-,17-,18?,19-	TRYPANOTHIONE-DISULFIDE
cpd02060	t:22-,26-,27-,28+,32-	C03221
cpd02060	t:22-,26-,27-,28?,32-	CPD-7222
cpd02079	t:5-,6-,8-,9-,10-,11-,14-,15-	C03246
cpd02079	t:5-,6-,8-,9-,10-,11-,14-,15?	CPD-861
cpd02082	t:19-,21-	C03256
cpd02082	t:19?,21-	CETRAXATE-BENZYL-ESTER
cpd02087	t:2-,3+,4+,5-,6?	C03269
cpd02087	t:2?,3?,4?,5-,6?	CPD-155
cpd02125	t:15-,18-,19-,20+,24-	C03345
cpd02125	t:15-,18-,19-,20?,24-	CPD-1083
cpd02127	t:3-,4-,5-,6+	C03348
cpd02127	t:3-,4-,5-,6-	CPD-9388
cpd02133	t:16-,20-,21-,22+,26-	C03357
cpd02133	t:16-,20-,21-,22?,26-	4-ACETAMIDOBUTANOYL
cpd02137	t:4-,5+	C03366
cpd02137	t:4?,5-	5-PHOSPHONOOXY-L-LYSINE
cpd02141	c:1-7-20-19(6)36(50)43-27(20)14-25-17(4)22(9-11-30(44)45)28(41-25)15-29-23(18(5)24(40-29)13-26-16(3)21(8-2)37(51)42-26)10-12-31(46)54-39-34(49)32(47)33(48)35(55-39)38(52)53	BILIRUBIN-GLUCURONOSIDE
cpd02141	c:1-7-20-19(6)36(50)43-27(20)14-25-18(5)23(10-12-31(46)54-39-34(49)32(47)33(48)35(55-39)38(52)53)29(41-25)15-28-22(9-11-30(44)45)17(4)24(40-28)13-26-16(3)21(8-2)37(51)42-26	C03374
cpd02145	t:2-,3+,4-,5-	C03387
cpd02145	t:2-,3-,4+,5+	CPD-526
cpd02152	t:5-,6-	C03406
cpd02152	t:5-,6?	L-ARGININO-SUCCINATE
cpd02155	t:4-,5+,7+,8+,9+,11?	C03410
cpd02155	t:4-,5-,7+,8-,9+,11-	CPD-273
cpd02166	t:9-,11-,12+,13-,16+	CPD-4614
cpd02166	t:9-,11-,12+,13-,16-	C03423
cpd02171	h:4-7,9-10,13,20-21H,1-3,15H2,(H,23,24)(H,16,17,22)	C03431
cpd02171	h:4-7,9-10,13,20-21H,1-3,15H2,(H2,16,17,22,23,24)	CPD-601
cpd02183	b:3-1+	CPD-13337
cpd02183	b:3-1-	C03453
cpd02184	b:23-20-,27-26+,31-22+,32-28+	C03455
cpd02184	b:23-20-,27-26+,31-22+,32-28-	CPD-523
cpd02193	t:13-,16+,19+,20+,22+,23-,24+,26+,27-	STRICTOSIDINE
cpd02193	t:13-,16+,19+,20-,22-,23+,24-,26+,27+	C03470
cpd02196	h:1-3,5-6,8,18,23H,4,21H2,(H,22,25)(H,27,28)(H,29,30)	512-DIHYDROXANTHOMMATIN
cpd02196	h:1-3,5-6,8,23,26H,4,21H2,(H,22,25)(H,27,28)(H,29,30)	C03476
cpd02200	t:7-,9-,10-,11-	C03486
cpd02200	t:7-,9-,10-,11?	CDP-N-METHYLETHANOLAMIN
cpd02215	t:16-,17-,18+,19-,21+	C03515
cpd02215	t:16-,17-,18+,19-,21?	LUTEOLIN-7-O-BETA-D-GLUCURONIDE
cpd02227	t:4-,5+,6+,7+,9+	CPD-564
cpd02227	t:4-,5+,6+,7+,9?	C03539
cpd02247	b:4-2-,5-3+,9-7+,15-11+	20-HYDROXY-LEUKOTRIENE-E4
cpd02247	b:4-2-,5-3-,9-7+,15-11+	C03577
cpd02249	t:9-,10+,11+,12+,13-,16+,17-,18-,19+	CPD-204
cpd02249	t:9-,10+,11+,12+,13-,16-,17-,18-,19+	C03579
cpd02334	t:14-,18-,19-,20+,24-	C03724
cpd02334	t:14-,18?,19?,20-,24-	S-5-HYDROXY-2-FUROYL-COA
cpd02370	t:2-,3-,4+,5-,6+	C03783
cpd02370	t:2-,3-,4+,5-,6?	CPD0-1646
cpd02375	t:5-,6+,9+,10+,13+	C03794
cpd02375	t:5?,6-,9-,10-,13-	ADENYLOSUCC
cpd02398	t:19-,20+,21+,23-,24+,26+,27-	C03845
cpd02398	t:19?,20?,21-,23?,24?,26-,27+	CPD-8621
cpd02403	t:12?,13-,14+,15+,16+,17+,18+,19+	ANDROSTAN-3-ALPHA17-BETA-DIOL
cpd02403	t:12?,13-,14?,15?,16?,17+,18?,19?	C03852
cpd02405	t:20-,22+,23+,24-,25+,26+,27-,28-,29+,30-,31-,32+,33-	C03855
cpd02405	t:20-,22+,23+,24-,25+,26+,27-,28-,29+,30-,31?,32+,33-	CPD-556
cpd02408	t:9-,10-,13+,14-	DEAMINOHYDROXYBLASTICIDIN-S
cpd02408	t:9?,10-,13+,14-	C03860
cpd02412	t:11-,12-,13+,14+,15-,16+	C03868
cpd02412	t:11-,12-,13+,14-,15-,16-	CPD-165
cpd02445	t:19-,21-,22+,23+,26+,27-,28-,29+,30+	C03930
cpd02445	t:19?,21?,22-,23?,26-,27+,28+,29-,30-	3-ALPHA-HYDROXYGLYCYRRHETINATE
cpd02478	t:7-,10+,11-,12+	C03995
cpd02478	t:7-,10?,11?,12?	4-NITROPHENYL-3-KETOVALIDAMINE
cpd02487	t:7-,8+,9-,10-,11-,13?	C04015
cpd02487	t:7?,8-,9+,10?,11+,13-	CPD-414
cpd02488	t:7-,8+,9+,10+,11+,13?	C04016
cpd02488	t:7?,8?,9-,10+,11?,13+	CPD-1803
cpd02489	t:7-,8+,9+,10+,11+,13?	C04017
cpd02489	t:7?,8?,9-,10+,11?,13+	N-ACETYL-9-O-ACETYLNEURAMINATE
cpd02506	h:1-2H,(H2,6,9)(H2,5,7,8)	CPD-3762
cpd02506	h:1H,5H2,(H2,6,9)(H,7,8)	C04051
cpd02507	b:2-1+	CPD-785
cpd02507	b:2-1-	C04052
cpd02508	c:7-2-1-3(5(9)10)12-6(11)4(2)8	CPD-13122
cpd02508	c:7-2-5(10)3(8)1-4(9)6(11)12	C04053
cpd02508	h:1-2,4,6-8,11H,(H,9,10)	CPD-13122
cpd02508	h:2-3,5,8,10H,1H2,(H,11,12)	C04053
cpd02508	t:2-,4+,6+	CPD-13122
cpd02508	t:3-,5-	C04053
cpd02511	t:7-,8-,11-,12-,13-,14-,19-,20-	C04058
cpd02511	t:7-,8?,11-,12-,13-,14-,19-,20-	CPD0-1137
cpd02546	t:6-,7-,8-,10-,11-,12-,13-,14-,17-	C04121
cpd02546	t:6-,7?,8-,10-,11-,12-,13?,14-,17-	CMP-KDO
cpd02553	t:5-,6+	CPD-309
cpd02553	t:5?,6-	C04137
cpd02560	b:43-23+,44-25+,45-27+,46-29+,47-31+,48-33+,49-35+,50-37+,51-39+	BETA-D-MANNOSYLPHOSPHODECAPRENOL
cpd02560	b:43-23+,44-25-,45-27-,46-29-,47-31-,48-33-,49-35-,50-37-,51-39-	C04150
cpd02572	b:4-1+,5-2-	CPD-784
cpd02572	b:4-1-,5-2+	C04186
cpd02574	t:3-,4-,5-,6-	C04188
cpd02574	t:3-,4-,5-,6?	CPD-444
cpd02587	c:1-5(7(11)12)10-4-2-3-6(9)8(13)14	C04210
cpd02587	c:9-6(8(13)14)2-1-4-10-5-3-7(11)12	CPD-307
cpd02587	h:5-6,10H,2-4,9H2,1H3,(H,11,12)(H,13,14)	C04210
cpd02587	h:6,10H,1-5,9H2,(H,11,12)(H,13,14)	CPD-307
cpd02587	t:5-,6-	C04210
cpd02587	t:6-	CPD-307
cpd02595	t:11-,12-,14-,16+	C12208
cpd02595	t:11-,12-,14?,16+	4-COUMAROYLQUINATE
cpd02611	t:4-,5+,6-,7-,8+	N-ACETYLD-D-MANNOSAMINE-1P
cpd02611	t:4-,5-,6-,7-,8?	C04256
cpd02628	h:7-8,10-12,18H,2-6,9H2,1H3	C04284
cpd02628	h:7-8,10-12,19H,2-6,9H2,1H3	CPD-7975
cpd02640	t:14?,15?,16?,17-,18+,19+,20-,21+,23+,24?	ESTRADIOL-ETCETERA-GLUCURONOSIDE
cpd02640	t:14?,15?,16?,17-,18+,19+,20-,21+,23-,24?	C04300
cpd02655	t:13-,14+,17-,18+,19-,20+,22+,24-,25+,26+,30-	C04330
cpd02655	t:13-,14+,17-,18+,19?,20+,22+,24-,25+,26+,30-	METHENYLTETRAHYDROMETHANOPTERIN
cpd02668	t:1-,2-,3-,4-,5+,6-,7-,8+,11+,12-	12-BETA-D-GLUCURONOSYL-D-GLUCURONATE
cpd02668	t:1-,2-,3-,4-,5+,6-,7-,8+,11?,12-	C04354
cpd02672	b:3-1-,4-2+,6-5+	C04366
cpd02672	b:3-1-,4-2-	CPD-1069
cpd02679	t:13-,14+,17-,18+,19-,20+,22+,24-,25+,26+,30-	C04377
cpd02679	t:13-,14+,17-,18+,19?,20+,22+,24-,25+,26+,30-	METHYLENETETRAHYDROMETHANOPTERIN
cpd02700	c:1-9(2)12(15)17-10(7-8-16)5-3-4-6-11(13)14	CPD-281
cpd02700	c:1-9(2)12(15)17-8-7-10(16)5-3-4-6-11(13)14	C04424
cpd02702	t:7-,8-,10-,11-,12-,13-,14+,15-,16+	UDP-N-ACETYL-D-GALACTOSAMINE-4-SULFATE
cpd02702	t:7-,8-,10-,11-,12-,13-,14+,15-,16-	C04426
cpd02703	t:6-,8+,9-,10-,11+,12-,13+,14-,16+	C04427
cpd02703	t:6-,8+,9-,10-,11+,12-,13+,14-,16-	UDP-MANNACA
cpd02731	b:2-1+,7-3-	CPD-157
cpd02731	b:2-1-,7-3+	C04479
cpd02737	t:13-,14+,17+,18-,19+,20-,22+,24+,25-,26-,30+	C04488
cpd02737	t:13-,14+,17+,18-,19-,20-,22+,24+,25-,26-,30+	METHYL-THMPT
cpd02745	b:46-13-,47-25-,48-27-,49-29-,50-31-,51-33-,52-35-,53-37-,54-39+,55-41+,56-43+	CPD-191
cpd02745	b:47-25+,48-27+,49-29-,50-31-,51-33-,52-35-,53-37-,54-39-,55-41-,56-43-	C04507
cpd02745	c:1-13-46(2)24-14-25-47(3)26-15-27-48(4)28-16-29-49(5)30-17-31-50(6)32-18-33-51(7)34-19-35-52(8)36-20-37-53(9)38-21-39-54(10)40-22-41-55(11)42-23-43-56(12)45-70-74(66,67)73-75(68,69)72-61-60(65)59(64)58(63)57(44-62)71-61	CPD-191
cpd02745	c:1-46(2)23-13-24-47(3)25-14-26-48(4)27-15-28-49(5)29-16-30-50(6)31-17-32-51(7)33-18-34-52(8)35-19-36-53(9)37-20-38-54(10)39-21-40-55(11)41-22-42-56(12)43-44-70-74(66,67)73-75(68,69)72-61-60(65)59(64)58(63)57(45-62)71-61	C04507
cpd02745	h:13,25,27,29,31,33,35,37,39,41,43,57-65H,14-24,26,28,30,32,34,36,38,40,42,44-45H2,1-12H3,(H,66,67)(H,68,69)	CPD-191
cpd02745	h:23,25,27,29,31,33,35,37,39,41,43,57-65H,13-22,24,26,28,30,32,34,36,38,40,42,44-45H2,1-12H3,(H,66,67)(H,68,69)	C04507
cpd02752	t:5-,6+,7?,8?,9+,11-	CPD-6182
cpd02752	t:5-,6?,7+,8?,9+,11-	C04521
cpd02759	t:20-,22-,23+,24+,25+,26+,28-,29-	44-DIMETHYL-5ALPHA-CHOLEST-7-EN-3BET
cpd02759	t:20-,22-,23+,24?,25+,26+,28-,29-	C04530
cpd02773	t:16-,17-,18+,19-,20-,21+,22+,23-,24+,26+,27-	CPD-1834
cpd02773	t:16-,17?,18+,19-,20?,21?,22?,23-,24?,26+,27-	C04554
cpd02796	t:7-,8-,10-,11-,12-,13-,14+,15-,16+	UDP-ACETYL-ETCETERA-BISSULFATE
cpd02796	t:7-,8-,10-,11-,12-,13-,14+,15-,16-	C04589
cpd02800	b:11-8-,17-14+	C04594
cpd02800	b:11-8-,17-14-	EPOXYOCTA-CPD
cpd02810	t:6-,8-,10-,12-,13-,14-,15-,16+	UDP-2-ACETAMIDO-4-DEHYDRO-26-DIDEOXYGLU
cpd02810	t:6-,8-,10-,12-,13-,14-,15-,16-	C04613
cpd02819	t:6-,8-,10-,11-,12-,13+,14-,15-,16+	UDP-2-ACETAMIDO-4-AMINO-246-TRIDEOXYGL
cpd02819	t:6-,8-,10-,11-,12-,13+,14-,15-,16-	C04630
cpd02827	t:4-,5-,6-,7+,8-,9+	CPD-456
cpd02827	t:4?,5-,6+,7+,8-,9+	C04641
cpd02837	t:12-,16+	C04655
cpd02837	t:12-,16-	HYDROXYTRIDECANE-ETCETERA-TRICARBOXYLATE
cpd02840	t:13-,14+,15-,16-,17+,18+,19-,20-,22+,23+,24-	CPD-1085
cpd02840	t:13-,14-,15+,16+,17-,18-,19+,20+,22-,23-,24+	C04661
cpd02846	b:10-3-,11-8-,17-14+	CPD-728
cpd02846	b:10-3-,11-8-,17-14-	C04672
